name,MCXC,LoVoCCSID,ra,dec,redshift,L500,M500,R500,alt_name,other_names,Notes
MCXCJ1330.8-0152,J1330.8-0152,40,202.7079167,-1.872777778,0.0852,2.127767,3.0567,0.9968,RXCJ1330.8-0152,A1750,"DL,large elongation towards NE,losStr"
MCXCJ2154.1-5751,J2154.1-5751,41,328.5383333,-57.85527778,0.076,2.097956,3.0499,0.9991,RXCJ2154.1-5751,A3822,losStr
MCXCJ1132.8+1428,J1132.8+1428,42,173.2208333,14.46888889,0.0834,2.074613,3.0137,0.9927,RXCJ1132.8+1428,A1307,
MCXCJ2149.1-3041,J2149.1-3041,43,327.2808333,-30.69861111,0.1184,2.053481,2.9219,0.9713,RXCJ2149.1-3041,A3814,
MCXCJ0145.0-5300,J0145.0-5300,44,26.25958333,-53.01388889,0.1168,2.010759,2.888,0.968,RXCJ0145.0-5300,A2941,
MCXCJ2223.8-0138,J2223.8-0138,45,335.9704167,-1.637777778,0.0906,1.9031,2.8449,0.9716,RXCJ2223.8-0138,A2440,
MCXCJ1628.6+3932,J1628.6+3932,46,247.1583333,39.54861111,0.0299,1.900691,2.9626,1.004,RXCJ1628.6+3932,A2199,L
MCXCJ1257.1-1724,J1257.1-1724,47,194.2904167,-17.40027778,0.0473,1.897483,2.9254,0.9944,RXCJ1257.1-1724,A1644,L
MCXCJ1141.4-1216,J1141.4-1216,48,175.35125,-12.27222222,0.1195,1.893646,2.7789,0.9548,RXCJ1141.4-1216,A1348,"X,losStr"
MCXCJ1521.2+3038,J1521.2+3038,49,230.3208333,30.64,0.0777,1.884743,2.8536,0.9766,A2061,A2061,
MCXCJ2218.0-6511,J2218.0-6511,50,334.5229167,-65.185,0.0951,1.858113,2.7949,0.9644,RXCJ2218.0-6511,RBS1847,
MCXCJ0433.6-1315,J0433.6-1315,51,68.41,-13.25916667,0.0326,1.85299,2.9118,0.9974,RXCJ0433.6-1315,A496,
MCXCJ2344.2-0422,J2344.2-0422,52,356.0666667,-4.3675,0.0786,1.852614,2.8221,0.9727,RXCJ2344.2-0422,,
MCXCJ0043.8+2424,J0043.8+2424,53,10.96708333,24.40194444,0.083,1.83959,2.8014,0.969,ZwCl235,ZwCl235,
MCXCJ1215.4-3900,J1215.4-3900,54,183.8708333,-39.01527778,0.119,1.834651,2.7267,0.9489,RXCJ1215.4-3900,,
MCXCJ2313.9-4244,J2313.9-4244,55,348.4941667,-42.73388889,0.0564,1.811143,2.8261,0.9802,RXCJ2313.9-4244,S1101,
MCXCJ0006.0-3443,J0006.0-3443,56,1.5125,-34.72416667,0.1147,1.809494,2.7122,0.9486,RXCJ0006.0-3443,A2721,
MCXCJ2134.2-1328,J2134.2-1328,57,323.56875,-13.48,0.0897,1.793951,2.746,0.9604,RXCJ2134.2-1328,A2351,B
MCXCJ1709.8+3426,J1709.8+3426,58,257.4533333,34.44055556,0.0802,1.783924,2.7548,0.9644,RXCJ1709.8+3426,A2249,
MCXCJ2218.2-0350,J2218.2-0350,59,334.57125,-3.834166667,0.0901,1.725034,2.6804,0.9526,RXCJ2218.2-0350,MS2215,"D,two maxima/NEE-SWW"
MCXCJ2226.0+1722,J2226.0+1722,60,336.5108333,17.37805556,0.1072,1.706366,2.6308,0.9414,A2443,A2443,
MCXCJ1520.9+4840,J1520.9+4840,61,230.2270833,48.66944444,0.1076,1.696173,2.6205,0.94,RXCJ1520.9+4840,A2064,
MCXCJ1516.3+0005,J1516.3+0005,62,229.08,0.097777778,0.1181,1.689631,2.5949,0.9337,RXCJ1516.3+0005,A2050,
MCXCJ2143.9-5637,J2143.9-5637,63,325.9929167,-56.62638889,0.0824,1.678567,2.6504,0.9514,RXCJ2143.9-5637,APMCC699,
MCXCJ1326.9-2710,J1326.9-2710,64,201.725,-27.18333333,0.0458,1.667482,2.7065,0.9694,RXCJ1326.9-2710,A1736,L
MCXCJ2152.4-1933,J2152.4-1933,65,328.1,-19.565,0.0943,1.663138,2.6137,0.9433,RXCJ2152.4-1933,A2384,"PB,GR10"
MCXCJ2357.0-3445,J2357.0-3445,66,359.2595833,-34.76055556,0.0475,1.629622,2.6658,0.964,RXCJ2357.0-3445,A4059,L
MCXCJ1620.5+2953,J1620.5+2953,67,245.1320833,29.89527778,0.0972,1.626729,2.5734,0.9376,RXCJ1620.5+2953,A2175,
MCXCJ2321.5-4153,J2321.5-4153,68,350.3891667,-41.89888889,0.0894,1.625536,2.5863,0.9415,RXCJ2321.5-4153,A3998,losStr
MCXCJ0005.3+1612,J0005.3+1612,69,1.344166667,16.21055556,0.1164,1.579007,2.4929,0.9218,RXCJ0005.3+1612,A2703,B
MCXCJ0704.4+6318,J0704.4+6318,70,106.1020833,63.31611111,0.098,1.576739,2.5235,0.9312,RXCJ0704.4+6318,A566,
MCXCJ1144.6+6724,J1144.6+6724,71,176.1675,67.41,0.1159,1.559224,2.4747,0.9197,RXCJ1144.6+6724,A1366,
MCXCJ2250.3+1054,J2250.3+1054,72,342.5875,10.9025,0.0768,1.558638,2.5431,0.9401,RXCJ2250.3+1054,A2495,
MCXCJ2209.3-5148,J2209.3-5148,73,332.3470833,-51.815,0.1065,1.5527,2.485,0.9239,RXCJ2209.3-5148,A3836,
MCXCJ2307.2-1513,J2307.2-1513,74,346.81375,-15.22833333,0.111,1.552593,2.4769,0.9215,RXCJ2307.2-1513,A2533,
MCXCJ2313.0-2137,J2313.0-2137,75,348.25375,-21.63194444,0.0871,1.509152,2.4758,0.9286,RXCJ2313.0-2137,A2556,
MCXCJ1133.2+6622,J1133.2+6622,76,173.3195833,66.37861111,0.116,1.489357,2.4063,0.9111,RXCJ1133.2+6622,A1302,
MCXCJ1341.8+2622,J1341.8+2622,77,205.4741667,26.37194444,0.0724,1.48629,2.4779,0.9333,RXCJ1341.8+2622,A1775,
MCXCJ1521.8+0742,J1521.8+0742,78,230.4583333,7.708888889,0.0442,1.482131,2.5215,0.9473,RXCJ1521.8+0742,MKW3s,
MCXCJ0328.6-5542,J0328.6-5542,79,52.15625,-55.71277778,0.0853,1.467361,2.4368,0.9243,RXCJ0328.6-5542,A3126,
MCXCJ0345.9-2416,J0345.9-2416,80,56.48333333,-24.28027778,0.1057,1.462214,2.397,0.9131,RXCJ0345.9-2416,A458,
MCXCJ0102.7-2152,J0102.7-2152,81,15.67541667,-21.87361111,0.0569,1.460216,2.4774,0.9379,RXCJ0102.7-2152,A133,
MCXCJ1516.7+0701,J1516.7+0701,82,229.1833333,7.018611111,0.0353,1.442058,2.4945,0.9465,RXCJ1516.7+0701,A2052,
MCXCJ2216.2-0920,J2216.2-0920,83,334.0645833,-9.34,0.0825,1.438718,2.4124,0.922,RXCJ2216.2-0920,A2428,
