Obs ID,M1S,M1U,M2S,M2U,PNS,PNU,Comments
0821310101,Good,,Good,,Bad,,"PN is flared, about 50% flared for M1/M2"
0821310201,Good,,Good,,Good,,PN is mostly flared
0821690301,Good,,Good,,Good,,
0821871401,Good,,Good,,Good,,
0822350101,Bad,Good,Bad,Good,Good,,Not a very long exposure for M1/M2
0822391001,Good,,Good,,Good,,
0822590701,Good,,Good,,Good,,Former half of the data is mostly flared
0823650101,Bad,Good,Good,,Good,,Not a long exposure for M1; PN is mostly flared
0823650301,Good,,Good,,Good,,
0823650401,Good,,Good,,Good,,
0823650501,Bad,,Bad,,,,Very less exposure
0823650601,Good,,Good,,Good,,
0823650701,Good,,Good,,Good,,
0824230201,Good,,Good,,Good,,
0824450701,Good,,Good,,Good,,
0827010501,Good,,Good,,Good,,
0827010601,Good,,Good,,Good,,
0827010801,Good,,Good,,Good,,
0827021201,Good,,Good,,Good,,
0827030801,Good,,Good,,Good,,Latter half of the data is flared
0827030901,Good,,Good,,Good,,Former half of the data flared for M1/M2; PN is mostly flared
0827031101,Good,,Good,,Good,,
0827031901,Good,,Good,,Good,,
0827041901,Good,,Good,,Good,,
0827320401,Good,,Good,,Good,,
0827340601,Good,,Good,,Good,,
0827361101,Good,,Good,,Good,,
0841570501,Good,,Good,,Good,,
0843430401,Good,,Good,,Good,,
0843890101,Good,,Good,,Good,,
0843890201,Good,,Good,,Good,,
0843890301,Good,,Good,,Good,,
0844050101,Good,,Bad,,Good,,Algorithm didn't work for M2
0844050201,Good,,Good,,Good,,PN is mostly flared
0884050301,Good,,Good,,Good,,
0844050401,Good,,Good,,Good,,
0844050501,Good,,Good,,Good,,
0844050601,Good,,Good,,Good,,
0844050701,Good,,Good,,Good,,
0844180301,Good,,Good,,Good,,
0861150101,Good,,Good,,Good,,
0861150201,Good,,Good,,Good,,
0861150301,Good,,Good,,Good,,
0862640901,Good,,Good,,Good,,
0864050501,Good,,Good,,Good,,
0864050601,Good,,Good,,Good,,
0864053001,Good,,Good,,Good,,
0864053501,Good,,Good,,Good,,Former half of the data for PN is flared
0864480301,Good,,Good,,Good,,
0865350101,Good,,Good,,Good,,
0865350201,Good,,Good,,Good,,
0865350301,Good,,Good,,Good,,
0880810101,Good,,Bad,,Good,,Algorithm didn't work for M2
0880810201,Good,,Good,,Good,,
0880810501,Good,,Good,,Good,,
0881190101,Good,,Good,,Good,,More than half of the data flared
0881190201,Good,,Good,,Good,,
0881190301,Good,,Good,,Good,,
0881210101,Good,,Good,,Good,,
0881210201,Good,,Good,,Good,,
0882110401,Good,,Good,,Good,,
0911790201,Good,Bad,Good,Bad,Good,Bad,Unscheduled ones look flared
0911791101,Good,,Good,,Good,,
